City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
421,villena,38.6373,-0.8657,288.97,86,0,1.44,ES,1727665034
422,guerrero negro,27.9769,-114.0611,292.71,85,0,6.36,MX,1727665035
423,jiaojiang,28.6803,121.4428,302.32,71,16,3.51,CN,1727665037
424,rio branco,-9.9747,-67.81,298.49,88,67,1.54,BR,1727665015
425,childress,34.4264,-100.204,298.29,36,0,2.06,US,1727665041
426,alofi,-19.0595,-169.9187,298.09,65,75,7.72,NU,1727665042
427,humaita,-7.5061,-63.0208,295.34,95,100,1.42,BR,1727665043
428,broken hill,-31.95,141.4333,291.59,29,0,4.29,AU,1727665044
429,bereznik,62.8551,42.7072,277.59,93,93,2.94,RU,1727665045
430,kuruman,-27.4524,23.4325,276.79,52,0,4.1,ZA,1727665046
431,kosong,38.3788,128.4676,296.52,57,8,2.97,KR,1727665048
432,pop,40.8736,71.1089,293.41,15,98,1.29,UZ,1727665049
433,kasongo,-4.45,26.6667,293.14,92,100,1.09,CD,1727665050
434,kyakhta,50.3508,106.4494,275.82,49,77,2.79,RU,1727665052
435,mahikeng,-25.8652,25.6442,282.14,46,80,5.14,ZA,1727665053
436,huazhou,21.6333,110.5833,304.11,68,7,0.93,CN,1727665054
437,baker city,44.7749,-117.8344,285.99,21,0,4.63,US,1727665055
438,laizhou,37.1717,119.9214,298.37,71,100,4.43,CN,1727665056
439,andkhoy,36.9529,65.1238,289.49,65,84,3.86,AF,1727665058
440,fortuna,40.5982,-124.1573,285.92,84,0,4.12,US,1727665059
441,pago pago,-14.2781,-170.7025,299.53,82,63,8.66,AS,1727665060
442,vadodara,22.3,73.2,299.13,94,75,0.0,IN,1727665061
443,severo-yeniseyskiy,60.3725,93.0408,276.0,96,100,6.02,RU,1727665062
444,asau,46.4333,26.4,279.49,93,100,2.32,RO,1727665064
445,kitimat,54.0524,-128.6534,282.54,66,64,0.89,CA,1727665065
446,juneau,58.3019,-134.4197,282.15,95,75,4.63,US,1727665066
447,pokachi,61.7198,75.3683,283.33,93,92,4.39,RU,1727665067
448,reggane,26.7158,0.1714,305.18,29,0,7.83,DZ,1727665068
449,svetlogorsk,52.6333,29.7333,282.8,65,100,7.42,BY,1727665073
450,coronel dorrego,-38.7187,-61.2873,289.74,88,96,4.94,AR,1727665074
451,angaur state,6.906,134.13,302.77,73,20,5.5,PW,1727665076
452,naryshkino,52.9678,35.7268,281.73,88,93,5.75,RU,1727665078
453,saint-ave,47.6833,-2.75,288.8,94,100,6.69,FR,1727665079
454,tshabong,-26.05,22.45,278.92,39,2,4.53,BW,1727665080
455,sao francisco do sul,-26.2433,-48.6381,294.24,83,75,3.09,BR,1727665081
456,tchibanga,-2.85,11.0333,295.52,95,100,1.04,GA,1727665082
457,estevan,49.1334,-102.9842,298.83,31,100,12.86,CA,1727665084
458,sorong,-0.8833,131.25,301.55,73,4,2.59,ID,1727665085
459,acapulco de juarez,16.8634,-99.8901,296.51,87,100,2.3,MX,1727665010
460,illizi,26.4833,8.4667,303.26,22,0,7.57,DZ,1727665087
461,nova xavantina,-14.6667,-52.35,302.92,34,67,1.06,BR,1727665088
462,leava,-14.3,-178.1667,299.74,83,70,8.15,WF,1727665090
463,kenora,49.8167,-94.4337,293.69,45,20,8.75,CA,1727665091
464,nicoya,10.1483,-85.452,296.29,95,100,0.53,CR,1727665092
465,ulaangom,49.9811,92.0667,278.48,29,53,1.27,MN,1727665093
466,caconda,-13.7333,15.0667,288.91,72,30,0.88,AO,1727665094
467,jendouba,36.5011,8.7802,287.16,77,0,0.0,TN,1727665096
468,akjoujt,19.6969,-14.4164,307.0,26,100,6.41,MR,1727665097
469,saurimo,-9.6608,20.3916,291.48,82,70,2.38,AO,1727665098
470,uaua,-9.8414,-39.4817,295.08,74,12,8.03,BR,1727665099
471,masterton,-40.9597,175.6575,291.46,49,6,2.67,NZ,1727665101
472,gemena,3.25,19.7667,293.82,99,98,0.35,CD,1727665102
473,gros islet,14.0667,-60.95,298.21,77,19,2.39,LC,1727665103
474,berezovyy,51.6667,135.7,275.66,99,100,1.07,RU,1727665104
475,lata,40.1629,-8.3327,286.26,60,0,1.63,PT,1727665106
476,loukhi,66.0764,33.0381,274.97,86,6,3.65,RU,1727665107
477,ulsteinvik,62.3432,5.8487,283.65,72,100,5.78,NO,1727665108
478,portland,45.5234,-122.6762,289.05,68,44,0.45,US,1727664994
479,kstovo,56.1473,44.1979,282.81,41,65,3.19,RU,1727665111
480,antofagasta,-23.65,-70.4,287.75,77,43,2.72,CL,1727665112
481,bac kan,22.1333,105.8333,298.76,99,98,0.75,VN,1727665114
482,tura,25.5198,90.2201,299.99,90,67,1.39,IN,1727665115
483,buchanan,5.8808,-10.0467,297.43,91,100,1.56,LR,1727665116
484,mumias,0.3351,34.4864,289.54,90,99,2.15,KE,1727665117
485,fereydun kenar,36.6864,52.5225,293.19,60,0,3.48,IR,1727665119
486,iquique,-20.2208,-70.1431,288.69,86,51,0.95,CL,1727665120
487,taroa,8.7058,171.2275,301.48,71,100,2.0,MH,1727665121
488,trevelin,-43.0858,-71.4639,277.02,99,100,0.99,AR,1727665122
489,sobinka,55.9855,40.0111,282.98,87,100,3.86,RU,1727665123
490,karatau,43.1667,70.4667,282.49,32,100,1.08,KZ,1727665125
491,heroica matamoros,25.8833,-97.5,299.21,83,0,2.06,MX,1727665001
492,miyaly,48.8844,53.7836,286.78,37,0,4.42,KZ,1727665128
493,belmonte,-15.8631,-38.8828,295.47,81,96,2.76,BR,1727665130
494,farafangana,-22.8167,47.8333,294.12,92,84,3.51,MG,1727665131
495,selfoss,63.9331,-20.9971,275.95,83,25,4.13,IS,1727665034
496,puerto ayacucho,5.6639,-67.6236,296.48,88,97,0.96,VE,1727665133
497,kouango,4.9934,19.9619,294.35,85,70,0.81,CF,1727665134
498,mims,28.6653,-80.8448,299.21,96,0,0.0,US,1727665135
499,basse-terre,16.1667,-61.6667,297.73,89,13,1.54,GP,1727664841
500,srandakan,-7.9386,110.2506,304.16,61,25,6.79,ID,1727665138
501,la passe,45.5549,-0.8967,290.05,87,28,7.21,FR,1727665139
502,lira,2.235,32.9097,290.05,91,100,0.85,UG,1727665142
503,okha,53.5739,142.9478,275.82,98,100,5.61,RU,1727665144
504,ataq,14.5377,46.8319,298.2,65,100,3.5,YE,1727665145
505,puerto cabezas,14.0351,-83.3888,298.28,90,100,1.68,NI,1727665146
506,port saint john's,-31.6229,29.5448,286.11,71,33,4.55,ZA,1727665148
507,aswan,24.0934,32.907,299.76,31,0,2.06,EG,1727665149
508,tucurui,-3.7661,-49.6725,300.88,60,33,4.05,BR,1727665151
509,brigantine,39.4101,-74.3646,292.05,96,100,4.12,US,1727664904
510,ciudad bolivar,8.1222,-63.5497,299.48,84,100,2.61,VE,1727665153
511,las palmas de gran canaria,28.0997,-15.4134,295.22,68,20,6.17,ES,1727665154
512,hami,42.8,93.45,284.88,20,0,5.95,CN,1727665155
513,catriel,-37.8791,-67.7956,293.17,21,100,5.29,AR,1727664923
514,santana,-0.0583,-51.1817,302.25,79,75,6.17,BR,1727665158
515,talara,-4.5772,-81.2719,291.57,94,75,8.23,PE,1727665159
516,al mijlad,11.0333,27.7333,297.02,75,100,2.43,SD,1727665160
517,clearwater,27.9659,-82.8001,301.14,89,0,0.45,US,1727664928
518,patnanungan,14.7833,122.1833,302.32,77,100,7.94,PH,1727665163
519,jaisalmer,26.9147,70.9181,304.4,49,8,6.08,IN,1727665164
520,karlskrona,56.1616,15.5866,272.4,76,8,2.39,SE,1727665165
521,dunedin,-45.8742,170.5036,288.04,70,2,2.24,NZ,1727665166
522,kumertau,52.7667,55.7833,283.59,41,19,1.12,RU,1727665168
523,micheweni,-4.9667,39.8333,297.22,85,96,2.98,TZ,1727665170
524,saint joseph,39.7686,-94.8466,291.05,79,0,0.0,US,1727665171
525,decatur,39.8403,-88.9548,296.18,68,100,5.66,US,1727665158
526,enshi,30.3,109.4833,293.38,92,100,3.11,CN,1727665174
527,aripuana,-9.1667,-60.6333,295.49,98,88,1.24,BR,1727665175
528,las vegas,36.175,-115.1372,308.84,11,0,3.6,US,1727665176
529,maceio,-9.6658,-35.7353,297.84,88,75,6.69,BR,1727665135
